Te, Be+0, Be+1, Be+2, Be+3, Be+4
1.0000e+00, 9.6730e-03, 9.8871e-01, 1.6131e-03, 1.0000e-36, 1.0000e-36
1.0798e+00, 5.3123e-03, 9.8920e-01, 5.4828e-03, 1.0000e-36, 1.0000e-36
1.1660e+00, 3.0443e-03, 9.8000e-01, 1.6952e-02, 1.0000e-36, 1.0000e-36
1.2590e+00, 1.7871e-03, 9.5065e-01, 4.7561e-02, 1.0000e-36, 1.0000e-36
1.3595e+00, 1.0421e-03, 8.8021e-01, 1.1875e-01, 1.0000e-36, 1.0000e-36
1.4680e+00, 5.7644e-04, 7.4551e-01, 2.5392e-01, 1.0000e-36, 1.0000e-36
1.5851e+00, 2.8846e-04, 5.5285e-01, 4.4686e-01, 1.0000e-36, 1.0000e-36
1.7116e+00, 1.2897e-04, 3.5578e-01, 6.4409e-01, 1.0000e-36, 1.0000e-36
1.8482e+00, 5.3347e-05, 2.0650e-01, 7.9345e-01, 1.0776e-33, 1.0000e-36
1.9957e+00, 2.1483e-05, 1.1416e-01, 8.8582e-01, 1.2601e-30, 1.0000e-36
2.1550e+00, 8.7461e-06, 6.2622e-02, 9.3737e-01, 6.2549e-28, 1.0000e-36
2.3269e+00, 3.6759e-06, 3.4878e-02, 9.6512e-01, 1.4299e-25, 1.0000e-36
2.5126e+00, 1.6093e-06, 1.9933e-02, 9.8007e-01, 1.7338e-23, 1.0000e-36
2.7131e+00, 7.3548e-07, 1.1733e-02, 9.8827e-01, 1.2755e-21, 1.0000e-36
2.9296e+00, 3.5044e-07, 7.1147e-03, 9.9288e-01, 6.4895e-20, 1.0000e-36
3.1634e+00, 1.7360e-07, 4.4393e-03, 9.9556e-01, 2.5811e-18, 1.0000e-36
3.4159e+00, 8.9194e-08, 2.8463e-03, 9.9715e-01, 8.4036e-17, 1.0000e-36
3.6884e+00, 4.7440e-08, 1.8730e-03, 9.9813e-01, 2.2383e-15, 1.0000e-36
3.9828e+00, 2.6063e-08, 1.2632e-03, 9.9874e-01, 4.8695e-14, 4.1516e-36
4.3006e+00, 1.4757e-08, 8.7174e-04, 9.9913e-01, 8.6387e-13, 3.7196e-33
4.6438e+00, 8.5907e-09, 6.1461e-04, 9.9939e-01, 1.2478e-11, 2.1906e-30
5.0144e+00, 5.1308e-09, 4.4200e-04, 9.9956e-01, 1.4756e-10, 8.3894e-28
5.4145e+00, 3.1378e-09, 3.2375e-04, 9.9968e-01, 1.4497e-09, 2.1398e-25
5.8466e+00, 1.9612e-09, 2.4116e-04, 9.9976e-01, 1.2013e-08, 3.7316e-23
6.3132e+00, 1.2503e-09, 1.8242e-04, 9.9982e-01, 8.5244e-08, 4.5672e-21
6.8170e+00, 8.1154e-10, 1.3992e-04, 9.9986e-01, 5.2596e-07, 4.0273e-19
7.3610e+00, 5.3525e-10, 1.0865e-04, 9.9989e-01, 2.8636e-06, 2.6249e-17
7.9484e+00, 3.5847e-10, 8.5377e-05, 9.9990e-01, 1.3895e-05, 1.2878e-15
8.5827e+00, 2.4380e-10, 6.7877e-05, 9.9987e-01, 6.0490e-05, 4.8192e-14
9.2676e+00, 1.6838e-10, 5.4592e-05, 9.9971e-01, 2.3778e-04, 1.3937e-12
1.0007e+01, 1.1806e-10, 4.4403e-05, 9.9911e-01, 8.4935e-04, 3.1551e-11
1.0806e+01, 8.3971e-11, 3.6489e-05, 9.9719e-01, 2.7725e-03, 5.6605e-10
1.1668e+01, 6.0462e-11, 3.0230e-05, 9.9167e-01, 8.3043e-03, 8.1364e-09
1.2599e+01, 4.3900e-11, 2.5143e-05, 9.7718e-01, 2.2797e-02, 9.4522e-08
1.3605e+01, 3.1844e-11, 2.0795e-05, 9.4309e-01, 5.6884e-02, 8.9018e-07
1.4690e+01, 2.2656e-11, 1.6785e-05, 8.7317e-01, 1.2681e-01, 6.7552e-06
1.5863e+01, 1.5400e-11, 1.2876e-05, 7.5370e-01, 2.4625e-01, 4.0736e-05
1.7128e+01, 9.7829e-12, 9.1795e-06, 5.9190e-01, 4.0790e-01, 1.9332e-04
1.8495e+01, 5.8098e-12, 6.0823e-06, 4.2208e-01, 5.7718e-01, 7.3120e-04
1.9971e+01, 3.3092e-12, 3.8419e-06, 2.8023e-01, 7.1748e-01, 2.2863e-03
2.1565e+01, 1.8706e-12, 2.3934e-06, 1.7957e-01, 8.1426e-01, 6.1687e-03
2.3286e+01, 1.0782e-12, 1.5106e-06, 1.1435e-01, 8.7076e-01, 1.4886e-02
2.5144e+01, 6.4240e-13, 9.7923e-07, 7.3521e-02, 8.9362e-01, 3.2854e-02
2.7151e+01, 3.9615e-13, 6.5263e-07, 4.7882e-02, 8.8514e-01, 6.6973e-02
2.9317e+01, 2.5059e-13, 4.4314e-07, 3.1375e-02, 8.4256e-01, 1.2607e-01
3.1657e+01, 1.5979e-13, 3.0130e-07, 2.0389e-02, 7.6236e-01, 2.1725e-01
3.4183e+01, 1.0073e-13, 2.0119e-07, 1.2933e-02, 6.4800e-01, 3.3906e-01
3.6911e+01, 6.1956e-14, 1.3025e-07, 7.9331e-03, 5.1477e-01, 4.7729e-01
3.9857e+01, 3.7137e-14, 8.1667e-08, 4.7169e-03, 3.8470e-01, 6.1059e-01
4.3037e+01, 2.1879e-14, 5.0029e-08, 2.7522e-03, 2.7493e-01, 7.2232e-01
4.6472e+01, 1.2822e-14, 3.0308e-08, 1.6005e-03, 1.9164e-01, 8.0676e-01
5.0180e+01, 7.5528e-15, 1.8367e-08, 9.3993e-04, 1.3251e-01, 8.6655e-01
5.4184e+01, 4.5024e-15, 1.1233e-08, 5.6216e-04, 9.1924e-02, 9.0751e-01
5.8508e+01, 2.7227e-15, 6.9641e-09, 3.4372e-04, 6.4423e-02, 9.3523e-01
6.3177e+01, 1.6686e-15, 4.3817e-09, 2.1496e-04, 4.5773e-02, 9.5401e-01
6.8219e+01, 1.0330e-15, 2.7947e-09, 1.3727e-04, 3.3015e-02, 9.6685e-01
7.3663e+01, 6.4331e-16, 1.8029e-09, 8.9247e-05, 2.4173e-02, 9.7574e-01
7.9541e+01, 4.0190e-16, 1.1747e-09, 5.8966e-05, 1.7960e-02, 9.8198e-01
8.5889e+01, 2.5155e-16, 7.7272e-10, 3.9547e-05, 1.3533e-02, 9.8643e-01
9.2743e+01, 1.5746e-16, 5.1264e-10, 2.6886e-05, 1.0332e-02, 9.8964e-01
1.0014e+02, 9.8391e-17, 3.4264e-10, 1.8498e-05, 7.9841e-03, 9.9200e-01
1.0814e+02, 6.1284e-17, 2.3049e-10, 1.2861e-05, 6.2380e-03, 9.9375e-01
1.1676e+02, 3.8084e-17, 1.5602e-10, 9.0320e-06, 4.9254e-03, 9.9507e-01
1.2608e+02, 2.3644e-17, 1.0625e-10, 6.4052e-06, 3.9288e-03, 9.9606e-01
1.3614e+02, 1.4686e-17, 7.2798e-11, 4.5856e-06, 3.1647e-03, 9.9683e-01
1.4701e+02, 9.1376e-18, 5.0169e-11, 3.3131e-06, 2.5731e-03, 9.9742e-01
1.5874e+02, 5.7030e-18, 3.4771e-11, 2.4149e-06, 2.1109e-03, 9.9789e-01
1.7141e+02, 3.5750e-18, 2.4233e-11, 1.7752e-06, 1.7465e-03, 9.9825e-01
1.8509e+02, 2.2532e-18, 1.6978e-11, 1.3157e-06, 1.4566e-03, 9.9854e-01
1.9986e+02, 1.4283e-18, 1.1956e-11, 9.8262e-07, 1.2241e-03, 9.9877e-01
2.1581e+02, 9.1080e-19, 8.4592e-12, 7.3931e-07, 1.0360e-03, 9.9896e-01
2.3303e+02, 5.8434e-19, 6.0122e-12, 5.6014e-07, 8.8269e-04, 9.9912e-01
2.5162e+02, 3.7726e-19, 4.2912e-12, 4.2719e-07, 7.5675e-04, 9.9924e-01
2.7170e+02, 2.4513e-19, 3.0748e-12, 3.2782e-07, 6.5253e-04, 9.9935e-01
2.9338e+02, 1.6030e-19, 2.2113e-12, 2.5302e-07, 5.6565e-04, 9.9943e-01
3.1680e+02, 1.0542e-19, 1.5955e-12, 1.9637e-07, 4.9279e-04, 9.9951e-01
3.4208e+02, 6.9648e-20, 1.1546e-12, 1.5319e-07, 4.3131e-04, 9.9957e-01
3.6938e+02, 4.6186e-20, 8.3773e-13, 1.2009e-07, 3.7912e-04, 9.9962e-01
3.9885e+02, 3.0713e-20, 6.0917e-13, 9.4567e-08, 3.3458e-04, 9.9967e-01
4.3068e+02, 2.0461e-20, 4.4381e-13, 7.4786e-08, 2.9634e-04, 9.9970e-01
4.6505e+02, 1.3647e-20, 3.2387e-13, 5.9376e-08, 2.6336e-04, 9.9974e-01
5.0216e+02, 9.1142e-21, 2.3678e-13, 4.7321e-08, 2.3478e-04, 9.9977e-01
5.4223e+02, 6.0982e-21, 1.7347e-13, 3.7853e-08, 2.0993e-04, 9.9979e-01
5.8550e+02, 4.0894e-21, 1.2740e-13, 3.0388e-08, 1.8824e-04, 9.9981e-01
6.3223e+02, 2.7498e-21, 9.3823e-14, 2.4480e-08, 1.6924e-04, 9.9983e-01
6.8268e+02, 1.8549e-21, 6.9301e-14, 1.9786e-08, 1.5254e-04, 9.9985e-01
7.3716e+02, 1.2555e-21, 5.1352e-14, 1.6044e-08, 1.3782e-04, 9.9986e-01
7.9599e+02, 8.5270e-22, 3.8173e-14, 1.3051e-08, 1.2480e-04, 9.9988e-01
8.5951e+02, 5.8103e-22, 2.8464e-14, 1.0648e-08, 1.1325e-04, 9.9989e-01
9.2810e+02, 3.9717e-22, 2.1289e-14, 8.7134e-09, 1.0299e-04, 9.9990e-01
1.0022e+03, 2.7232e-22, 1.5971e-14, 7.1501e-09, 9.3844e-05, 9.9991e-01
1.0821e+03, 1.8728e-22, 1.2017e-14, 5.8831e-09, 8.5672e-05, 9.9991e-01
1.1685e+03, 1.2914e-22, 9.0662e-15, 4.8527e-09, 7.8349e-05, 9.9992e-01
1.2617e+03, 8.9264e-23, 6.8562e-15, 4.0114e-09, 7.1759e-05, 9.9993e-01
1.3624e+03, 6.1819e-23, 5.1948e-15, 3.3218e-09, 6.5805e-05, 9.9993e-01
1.4711e+03, 4.2877e-23, 3.9419e-15, 2.7547e-09, 6.0406e-05, 9.9994e-01
1.5885e+03, 2.9772e-23, 2.9944e-15, 2.2867e-09, 5.5492e-05, 9.9994e-01
1.7153e+03, 2.0688e-23, 2.2762e-15, 1.8996e-09, 5.1004e-05, 9.9995e-01
1.8522e+03, 1.4384e-23, 1.7313e-15, 1.5791e-09, 4.6911e-05, 9.9995e-01
2.0000e+03, 1.0010e-23, 1.3179e-15, 1.3137e-09, 4.3197e-05, 9.9996e-01
