Te, He+0, He+1, He+2
1.0000e+00, 1.0000e+00, 4.9485e-06, 9.9856e-27
1.0798e+00, 9.9997e-01, 2.8907e-05, 3.3899e-24
1.1660e+00, 9.9985e-01, 1.4736e-04, 7.6818e-22
1.2590e+00, 9.9934e-01, 6.6205e-04, 1.1843e-19
1.3595e+00, 9.9736e-01, 2.6449e-03, 1.2651e-17
1.4680e+00, 9.9054e-01, 9.4584e-03, 9.5141e-16
1.5851e+00, 9.6971e-01, 3.0290e-02, 5.0889e-14
1.7116e+00, 9.1443e-01, 8.5574e-02, 1.9391e-12
1.8482e+00, 7.9452e-01, 2.0548e-01, 5.1751e-11
1.9957e+00, 6.0098e-01, 3.9902e-01, 9.3936e-10
2.1550e+00, 3.8547e-01, 6.1453e-01, 1.1585e-08
2.3269e+00, 2.1745e-01, 7.8255e-01, 1.0231e-07
2.5126e+00, 1.1529e-01, 8.8471e-01, 7.0060e-07
2.7131e+00, 6.0487e-02, 9.3951e-01, 3.9696e-06
2.9296e+00, 3.2275e-02, 9.6771e-01, 1.9382e-05
3.1634e+00, 1.7712e-02, 9.8220e-01, 8.3551e-05
3.4159e+00, 1.0043e-02, 9.8963e-01, 3.2273e-04
3.6884e+00, 5.8912e-03, 9.9298e-01, 1.1281e-03
3.9828e+00, 3.5716e-03, 9.9283e-01, 3.5954e-03
4.3006e+00, 2.2297e-03, 9.8727e-01, 1.0497e-02
4.6438e+00, 1.4221e-03, 9.7048e-01, 2.8095e-02
5.0144e+00, 9.1294e-04, 9.3060e-01, 6.8488e-02
5.4145e+00, 5.7501e-04, 8.5001e-01, 1.4941e-01
5.8466e+00, 3.4347e-04, 7.1598e-01, 2.8367e-01
6.3132e+00, 1.8916e-04, 5.4157e-01, 4.5824e-01
6.8170e+00, 9.5875e-05, 3.6774e-01, 6.3216e-01
7.3610e+00, 4.5938e-05, 2.3063e-01, 7.6932e-01
7.9484e+00, 2.1585e-05, 1.3884e-01, 8.6114e-01
8.5827e+00, 1.0239e-05, 8.2759e-02, 9.1723e-01
9.2676e+00, 4.9876e-06, 4.9786e-02, 9.5021e-01
1.0007e+01, 2.5141e-06, 3.0522e-02, 9.6948e-01
1.0806e+01, 1.3143e-06, 1.9147e-02, 9.8085e-01
1.1668e+01, 7.1259e-07, 1.2309e-02, 9.8769e-01
1.2599e+01, 4.0019e-07, 8.1093e-03, 9.9189e-01
1.3605e+01, 2.3227e-07, 5.4691e-03, 9.9453e-01
1.4690e+01, 1.3893e-07, 3.7706e-03, 9.9623e-01
1.5863e+01, 8.5401e-08, 2.6530e-03, 9.9735e-01
1.7128e+01, 5.3805e-08, 1.9025e-03, 9.9810e-01
1.8495e+01, 3.4661e-08, 1.3889e-03, 9.9861e-01
1.9971e+01, 2.2776e-08, 1.0311e-03, 9.9897e-01
2.1565e+01, 1.5232e-08, 7.7737e-04, 9.9922e-01
2.3286e+01, 1.0351e-08, 5.9462e-04, 9.9941e-01
2.5144e+01, 7.1383e-09, 4.6098e-04, 9.9954e-01
2.7151e+01, 4.9894e-09, 3.6182e-04, 9.9964e-01
2.9317e+01, 3.5299e-09, 2.8723e-04, 9.9971e-01
3.1657e+01, 2.5244e-09, 2.3039e-04, 9.9977e-01
3.4183e+01, 1.8234e-09, 1.8657e-04, 9.9981e-01
3.6911e+01, 1.3292e-09, 1.5245e-04, 9.9985e-01
3.9857e+01, 9.7723e-10, 1.2562e-04, 9.9987e-01
4.3037e+01, 7.2413e-10, 1.0432e-04, 9.9990e-01
4.6472e+01, 5.4043e-10, 8.7261e-05, 9.9991e-01
5.0180e+01, 4.0594e-10, 7.3478e-05, 9.9993e-01
5.4184e+01, 3.0669e-10, 6.2249e-05, 9.9994e-01
5.8508e+01, 2.3288e-10, 5.3040e-05, 9.9995e-01
6.3177e+01, 1.7760e-10, 4.5439e-05, 9.9995e-01
6.8219e+01, 1.3593e-10, 3.9125e-05, 9.9996e-01
7.3663e+01, 1.0434e-10, 3.3850e-05, 9.9997e-01
7.9541e+01, 8.0316e-11, 2.9417e-05, 9.9997e-01
8.5889e+01, 6.1996e-11, 2.5674e-05, 9.9997e-01
9.2743e+01, 4.7995e-11, 2.2495e-05, 9.9998e-01
1.0014e+02, 3.7268e-11, 1.9784e-05, 9.9998e-01
1.0814e+02, 2.9031e-11, 1.7459e-05, 9.9998e-01
1.1676e+02, 2.2694e-11, 1.5455e-05, 9.9998e-01
1.2608e+02, 1.7809e-11, 1.3721e-05, 9.9999e-01
1.3614e+02, 1.4036e-11, 1.2212e-05, 9.9999e-01
1.4701e+02, 1.1114e-11, 1.0894e-05, 9.9999e-01
1.5874e+02, 8.8437e-12, 9.7364e-06, 9.9999e-01
1.7141e+02, 7.0674e-12, 8.7187e-06, 9.9999e-01
1.8509e+02, 5.6656e-12, 7.8231e-06, 9.9999e-01
1.9986e+02, 4.5506e-12, 7.0340e-06, 9.9999e-01
2.1581e+02, 3.6585e-12, 6.3380e-06, 9.9999e-01
2.3303e+02, 2.9436e-12, 5.7224e-06, 9.9999e-01
2.5162e+02, 2.3701e-12, 5.1764e-06, 9.9999e-01
2.7170e+02, 1.9099e-12, 4.6905e-06, 1.0000e+00
2.9338e+02, 1.5402e-12, 4.2570e-06, 1.0000e+00
3.1680e+02, 1.2430e-12, 3.8692e-06, 1.0000e+00
3.4208e+02, 1.0040e-12, 3.5213e-06, 1.0000e+00
3.6938e+02, 8.1161e-13, 3.2084e-06, 1.0000e+00
3.9885e+02, 6.5667e-13, 2.9262e-06, 1.0000e+00
4.3068e+02, 5.3179e-13, 2.6711e-06, 1.0000e+00
4.6505e+02, 4.3107e-13, 2.4399e-06, 1.0000e+00
5.0216e+02, 3.4978e-13, 2.2300e-06, 1.0000e+00
5.4223e+02, 2.8413e-13, 2.0393e-06, 1.0000e+00
5.8550e+02, 2.3118e-13, 1.8671e-06, 1.0000e+00
6.3223e+02, 1.8852e-13, 1.7126e-06, 1.0000e+00
6.8268e+02, 1.5417e-13, 1.5749e-06, 1.0000e+00
7.3716e+02, 1.2648e-13, 1.4528e-06, 1.0000e+00
7.9599e+02, 1.0397e-13, 1.3425e-06, 1.0000e+00
8.5951e+02, 8.5421e-14, 1.2398e-06, 1.0000e+00
9.2810e+02, 6.9968e-14, 1.1414e-06, 1.0000e+00
1.0022e+03, 5.6996e-14, 1.0449e-06, 1.0000e+00
1.0821e+03, 4.6098e-14, 9.4951e-07, 1.0000e+00
1.1685e+03, 3.7066e-14, 8.5770e-07, 1.0000e+00
1.2617e+03, 2.9689e-14, 7.7170e-07, 1.0000e+00
1.3624e+03, 2.3738e-14, 6.9301e-07, 1.0000e+00
1.4711e+03, 1.8984e-14, 6.2242e-07, 1.0000e+00
1.5885e+03, 1.5214e-14, 5.6012e-07, 1.0000e+00
1.7153e+03, 1.2219e-14, 5.0510e-07, 1.0000e+00
1.8522e+03, 9.8261e-15, 4.5607e-07, 1.0000e+00
2.0000e+03, 7.9062e-15, 4.1197e-07, 1.0000e+00
