Te, Li+0, Li+1, Li+2, Li+3
1.0000e+00, 8.9691e-05, 9.9991e-01, 8.0742e-29, 1.0000e-36
1.0798e+00, 5.5826e-05, 9.9994e-01, 1.1973e-26, 1.0000e-36
1.1660e+00, 3.5618e-05, 9.9996e-01, 1.3817e-24, 1.0000e-36
1.2590e+00, 2.3268e-05, 9.9998e-01, 1.2477e-22, 1.0000e-36
1.3595e+00, 1.5546e-05, 9.9998e-01, 8.8630e-21, 1.0000e-36
1.4680e+00, 1.0611e-05, 9.9999e-01, 4.9792e-19, 1.0000e-36
1.5851e+00, 7.3898e-06, 9.9999e-01, 2.2242e-17, 1.0000e-36
1.7116e+00, 5.2457e-06, 9.9999e-01, 7.9426e-16, 1.0000e-36
1.8482e+00, 3.7910e-06, 1.0000e+00, 2.2795e-14, 1.0000e-36
1.9957e+00, 2.7861e-06, 1.0000e+00, 5.2861e-13, 1.0000e-36
2.1550e+00, 2.0799e-06, 1.0000e+00, 9.9581e-12, 3.3882e-35
2.3269e+00, 1.5753e-06, 1.0000e+00, 1.5321e-10, 7.0738e-32
2.5126e+00, 1.2093e-06, 1.0000e+00, 1.9356e-09, 8.5866e-29
2.7131e+00, 9.3966e-07, 1.0000e+00, 2.0186e-08, 5.9912e-26
2.9296e+00, 7.3830e-07, 1.0000e+00, 1.7472e-07, 2.3756e-23
3.1634e+00, 5.8592e-07, 1.0000e+00, 1.2626e-06, 5.3133e-21
3.4159e+00, 4.6941e-07, 9.9999e-01, 7.7080e-06, 6.9472e-19
3.6884e+00, 3.7955e-07, 9.9996e-01, 4.0376e-05, 5.6511e-17
3.9828e+00, 3.0964e-07, 9.9982e-01, 1.8430e-04, 3.0445e-15
4.3006e+00, 2.5475e-07, 9.9926e-01, 7.4438e-04, 1.1561e-13
4.6438e+00, 2.1111e-07, 9.9730e-01, 2.6993e-03, 3.2917e-12
5.0144e+00, 1.7567e-07, 9.9110e-01, 8.9009e-03, 7.4591e-11
5.4145e+00, 1.4569e-07, 9.7317e-01, 2.6832e-02, 1.4039e-09
5.8466e+00, 1.1847e-07, 9.2708e-01, 7.2920e-02, 2.1675e-08
6.3132e+00, 9.1384e-08, 8.2716e-01, 1.7284e-01, 2.6386e-07
6.8170e+00, 6.3869e-08, 6.5871e-01, 3.4129e-01, 2.4029e-06
7.3610e+00, 3.9319e-08, 4.5420e-01, 5.4579e-01, 1.5824e-05
7.9484e+00, 2.1786e-08, 2.7677e-01, 7.2315e-01, 7.7400e-05
8.5827e+00, 1.1503e-08, 1.5773e-01, 8.4197e-01, 3.0140e-04
9.2676e+00, 6.1050e-09, 8.8638e-02, 9.1036e-01, 9.9814e-04
1.0007e+01, 3.3654e-09, 5.0735e-02, 9.4632e-01, 2.9416e-03
1.0806e+01, 1.9552e-09, 3.0014e-02, 9.6206e-01, 7.9228e-03
1.1668e+01, 1.1971e-09, 1.8394e-02, 9.6190e-01, 1.9704e-02
1.2599e+01, 7.6545e-10, 1.1603e-02, 9.4312e-01, 4.5275e-02
1.3605e+01, 5.0248e-10, 7.4268e-03, 8.9715e-01, 9.5428e-02
1.4690e+01, 3.3059e-10, 4.7225e-03, 8.1339e-01, 1.8189e-01
1.5863e+01, 2.1229e-10, 2.9129e-03, 6.8879e-01, 3.0830e-01
1.7128e+01, 1.3053e-10, 1.7148e-03, 5.3786e-01, 4.6042e-01
1.8495e+01, 7.6661e-11, 9.6368e-04, 3.8878e-01, 6.1026e-01
1.9971e+01, 4.3561e-11, 5.2515e-04, 2.6515e-01, 7.3433e-01
2.1565e+01, 2.4403e-11, 2.8344e-04, 1.7487e-01, 8.2485e-01
2.3286e+01, 1.3724e-11, 1.5442e-04, 1.1395e-01, 8.8590e-01
2.5144e+01, 7.8442e-12, 8.5979e-05, 7.4471e-02, 9.2544e-01
2.7151e+01, 4.5839e-12, 4.9241e-05, 4.9246e-02, 9.5070e-01
2.9317e+01, 2.7435e-12, 2.9064e-05, 3.3099e-02, 9.6687e-01
3.1657e+01, 1.6803e-12, 1.7669e-05, 2.2651e-02, 9.7733e-01
3.4183e+01, 1.0511e-12, 1.1034e-05, 1.5793e-02, 9.8420e-01
3.6911e+01, 6.7008e-13, 7.0525e-06, 1.1217e-02, 9.8878e-01
3.9857e+01, 4.3405e-13, 4.5937e-06, 8.1101e-03, 9.9189e-01
4.3037e+01, 2.8486e-13, 3.0371e-06, 5.9631e-03, 9.9403e-01
4.6472e+01, 1.8909e-13, 2.0352e-06, 4.4541e-03, 9.9554e-01
5.0180e+01, 1.2676e-13, 1.3811e-06, 3.3760e-03, 9.9662e-01
5.4184e+01, 8.5689e-14, 9.4852e-07, 2.5936e-03, 9.9741e-01
5.8508e+01, 5.8317e-14, 6.5909e-07, 2.0179e-03, 9.9798e-01
6.3177e+01, 3.9895e-14, 4.6332e-07, 1.5888e-03, 9.9841e-01
6.8219e+01, 2.7421e-14, 3.2956e-07, 1.2651e-03, 9.9873e-01
7.3663e+01, 1.8938e-14, 2.3726e-07, 1.0182e-03, 9.9898e-01
7.9541e+01, 1.3131e-14, 1.7277e-07, 8.2801e-04, 9.9917e-01
8.5889e+01, 9.1300e-15, 1.2711e-07, 6.7983e-04, 9.9932e-01
9.2743e+01, 6.3566e-15, 9.4367e-08, 5.6322e-04, 9.9944e-01
1.0014e+02, 4.4307e-15, 7.0613e-08, 4.7036e-04, 9.9953e-01
1.0814e+02, 3.0948e-15, 5.3208e-08, 3.9546e-04, 9.9960e-01
1.1676e+02, 2.1671e-15, 4.0355e-08, 3.3455e-04, 9.9967e-01
1.2608e+02, 1.5214e-15, 3.0797e-08, 2.8471e-04, 9.9972e-01
1.3614e+02, 1.0711e-15, 2.3641e-08, 2.4367e-04, 9.9976e-01
1.4701e+02, 7.5631e-16, 1.8249e-08, 2.0967e-04, 9.9979e-01
1.5874e+02, 5.3567e-16, 1.4160e-08, 1.8134e-04, 9.9982e-01
1.7141e+02, 3.8063e-16, 1.1042e-08, 1.5759e-04, 9.9984e-01
1.8509e+02, 2.7138e-16, 8.6500e-09, 1.3758e-04, 9.9986e-01
1.9986e+02, 1.9418e-16, 6.8051e-09, 1.2061e-04, 9.9988e-01
2.1581e+02, 1.3945e-16, 5.3748e-09, 1.0616e-04, 9.9989e-01
2.3303e+02, 1.0053e-16, 4.2605e-09, 9.3788e-05, 9.9991e-01
2.5162e+02, 7.2768e-17, 3.3883e-09, 8.3138e-05, 9.9992e-01
2.7170e+02, 5.2890e-17, 2.7027e-09, 7.3928e-05, 9.9993e-01
2.9338e+02, 3.8608e-17, 2.1615e-09, 6.5925e-05, 9.9993e-01
3.1680e+02, 2.8308e-17, 1.7328e-09, 5.8940e-05, 9.9994e-01
3.4208e+02, 2.0842e-17, 1.3921e-09, 5.2819e-05, 9.9995e-01
3.6938e+02, 1.5402e-17, 1.1208e-09, 4.7441e-05, 9.9995e-01
3.9885e+02, 1.1418e-17, 9.0425e-10, 4.2700e-05, 9.9996e-01
4.3068e+02, 8.4877e-18, 7.3100e-10, 3.8508e-05, 9.9996e-01
4.6505e+02, 6.3235e-18, 5.9210e-10, 3.4791e-05, 9.9997e-01
5.0216e+02, 4.7193e-18, 4.8051e-10, 3.1487e-05, 9.9997e-01
5.4223e+02, 3.5273e-18, 3.9071e-10, 2.8541e-05, 9.9997e-01
5.8550e+02, 2.6417e-18, 3.1845e-10, 2.5911e-05, 9.9997e-01
6.3223e+02, 1.9838e-18, 2.6031e-10, 2.3561e-05, 9.9998e-01
6.8268e+02, 1.4948e-18, 2.1351e-10, 2.1458e-05, 9.9998e-01
7.3716e+02, 1.1309e-18, 1.7579e-10, 1.9573e-05, 9.9998e-01
7.9599e+02, 8.5853e-19, 1.4521e-10, 1.7879e-05, 9.9998e-01
8.5951e+02, 6.5328e-19, 1.2021e-10, 1.6353e-05, 9.9998e-01
9.2810e+02, 4.9764e-19, 9.9610e-11, 1.4972e-05, 9.9999e-01
1.0022e+03, 3.7903e-19, 8.2523e-11, 1.3720e-05, 9.9999e-01
1.0821e+03, 2.8837e-19, 6.8286e-11, 1.2580e-05, 9.9999e-01
1.1685e+03, 2.1909e-19, 5.6427e-11, 1.1540e-05, 9.9999e-01
1.2617e+03, 1.6623e-19, 4.6562e-11, 1.0588e-05, 9.9999e-01
1.3624e+03, 1.2594e-19, 3.8365e-11, 9.7134e-06, 9.9999e-01
1.4711e+03, 9.5274e-20, 3.1563e-11, 8.9081e-06, 9.9999e-01
1.5885e+03, 7.1966e-20, 2.5928e-11, 8.1649e-06, 9.9999e-01
1.7153e+03, 5.4277e-20, 2.1265e-11, 7.4775e-06, 9.9999e-01
1.8522e+03, 4.0870e-20, 1.7412e-11, 6.8407e-06, 9.9999e-01
2.0000e+03, 3.0725e-20, 1.4234e-11, 6.2499e-06, 9.9999e-01
